reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude,prior_temp,actual_temp,following_temp
CP,1001728010,2022-07-12,8:28 AM,Raking collision,0,BENSENVILLE,IL,73,2,Day,Cloudy,Yard,Freight Train,0,6611,1502,20866,H306,41.945073,-87.892272,77.2,76.9,73.6
CSX,000167908,2017-03-31,5:30 PM,Derailment,0,NASHVILLE,TN,63,2,Day,Cloudy,Yard,Cut of cars,9,25554,128,25682,E02C,36.112142,-86.770737,70.5,56.3,51.2
SEPA,32457,2019-03-02,3:28 PM,Fire/violent rupture,0,CROYDON,PA,37,2,Day,Cloudy,Main,EMU,0,13000,0,13000,E71L,40.093559,-74.906799,33.3,37.2,38.3
CSX,000176248,2018-05-07,10:43 AM,Derailment,0,NORTH CHARLESTON,SC,70,2,Day,Clear,Yard,Yard/switching,4,106838,7302,114140,H503,32.85697,-80.022954,75.9,72.3,70.1
NS,143113,2021-10-10,11:00 PM,Other (describe in narrative),0,COLUMBIA,SC,66,4,Dark,Clear,Yard,Yard/switching,8,24766,92470,117236,H306,33.964143,-80.985305,73.3,73.6,69.5
UP,0115SL003,2015-01-06,9:15 AM,Other (describe in narrative),0,POPLAR BLUFF,MO,35,2,Day,Clear,Yard,Freight Train,7,12557,0,12557,E22L,36.727394,-90.419765,22.1,29.8,21.1
NS,151546,2022-11-24,2:52 PM,Other impacts,0,CHATTANOOGA,TN,67,2,Day,Clear,Yard,Yard/switching,3,16000,0,17400,M411,35.07225,-85.255535,46.1,52.6,56.5
CSX,000176136,2018-05-01,10:20 PM,Derailment,0,NASHVILLE,TN,60,4,Dark,Clear,Yard,Yard/switching,7,77646,2814,80460,E30C,36.112142,-86.770737,58.4,67,72.7
KCS,15100101,2015-10-01,7:35 AM,Derailment,0,HOUSTON,TX,87,2,Day,Clear,Main,Freight Train,10,63775,0,301070,M507,29.810558,-95.262275,81.5,79.7,73.7
UP,1017HO009,2017-10-10,5:45 AM,Hwy-rail crossing,0,JACKSONVILLE,TX,64,4,Dark,Clear,Main,Freight Train,19,1000,20222,21222,M302,31.915725,-95.377718,79.2,68.6,63.4
BNSF,CH0816106,2016-08-11,10:55 AM,Derailment,0,CHICAGO,IL,84,2,Day,Clear,Yard,Freight Train,5,44965,13247,58212,H504,41.810141,-87.714406,82.1,84.1,79.2
UP,0516HO001,2016-05-01,8:20 AM,Derailment,0,TROUP,TX,72,2,Day,Cloudy,Main,Freight Train,43,1098225,483101,1581326,M103,32.195423,-95.097864,73.1,71,61.6
UP,1117HO028,2017-11-22,8:40 PM,Other impacts,0,SPRING,TX,55,4,Dark,Clear,Yard,Freight Train,9,97866,40082,171266,H310,30.061664,-95.412612,63,59.6,50.6
URR,21110,2021-08-26,3:07 AM,Derailment,0,WEST MIFFLIN,PA,72,4,Dark,Cloudy,Industry,Yard/switching,5,18294,40000,58294,H704,40.329728,-79.900074,75.9,75.1,76.1
UP,0322PN004,2022-03-05,4:22 AM,Other impacts,0,EUGENE,OR,41,1,Dawn,Cloudy,Yard,Freight Train,7,39481,0,70823,H301,44.082511,-123.148597,43.8,45,44.4
NS,115909,2015-06-03,12:04 AM,Derailment,0,WEST FAIRVIEW,PA,55,4,Dark,Cloudy,Yard,Yard/switching,7,256,27415,27671,H306,40.279833,-76.922471,57.6,61.2,61.5
NS,135111,2019-08-15,5:05 PM,Derailment,0,BALTIMORE,MD,85,3,Dusk,Clear,Yard,Freight Train,4,10810,2000,12810,H507,39.295744,-76.554671,79.8,78.9,80.4
CSX,000181268,2019-02-08,8:49 PM,Other (describe in narrative),0,IRWIN,PA,19,4,Dark,Clear,Main,Freight Train,24,12827,0,12827,M101,40.296524,-79.782969,54.5,33.3,20.2
UP,0916KC008,2016-09-12,9:31 AM,Hwy-rail crossing,0,STRATFORD,TX,75,2,Day,Clear,Main,Freight Train,43,5210,56785,61995,M302,36.23534,-102.238331,71.5,77.4,62.8
ATK,165993,2020-12-07,1:40 PM,Derailment,0,PHILADELPHIA,PA,42,2,Day,Clear,Yard,Light loco(s),5,85736,7650,93386,H303,39.958993,-75.182728,38.7,32.9,34.8
CSX,000156627,2016-01-30,7:15 AM,Derailment,0,ETOWAH,TN,65,4,Dark,Clear,Yard,Freight Train,4,47852,8540,56392,M204,35.328132,-84.521392,34.9,42,56
NS,142953,2021-09-27,1:10 AM,Other (describe in narrative),0,MASCOT,TN,57,4,Dark,Clear,Yard,Yard/switching,4,190,11326,11516,H702,36.033044,-83.817204,63.2,64.3,67.8
WNYP,W2019005,2019-02-06,11:40 AM,Derailment,0,EMPORIUM,PA,20,2,Day,Cloudy,Siding,Freight Train,7,3542,11470,15012,E64C,41.50852,-78.222767,43.1,38.1,45.6
DAIR,022023,2023-08-30,3:54 PM,Derailment,0,NO SIOUX CITY,SD,85,2,Day,Clear,Siding,Freight Train,10,891684,211700,1103384,M507,42.528595,-96.483208,72.9,72.3,72.2
UP,0316HO030,2016-03-31,8:00 PM,Derailment,0,HOUSTON,TX,78,4,Dark,Cloudy,Yard,Yard/switching,3,25730,4575,30305,M101,29.809747,-95.297744,72.4,77.9,65.3
NS,141261,2021-04-17,5:50 AM,Other impacts,0,BELLEVUE,OH,39,1,Dawn,Clear,Yard,Cut of cars,0,600,0,25382,H312,41.29034,-82.788151,45.6,46,48.5
UP,0823PN023,2023-08-23,3:45 AM,Other impacts,0,PORTLAND,OR,60,4,Dark,Clear,Yard,Yard/switching,4,56605,0,56605,H318,45.552663,-122.692864,67.4,68.1,73.5
BNSF,GC1214101,2014-12-08,11:45 PM,Derailment,0,BROWNWOOD,TX,42,4,Dark,Clear,Yard,Yard/switching,5,14583,800,15383,H318,31.716852,-98.973476,48.7,51.1,51.9
CSX,000194614,2020-12-22,11:00 AM,Derailment,0,FAIRFIELD,PA,41,2,Day,Cloudy,Main,Single Car,2,47007,500,590552,H021,39.752257,-77.453422,36.5,37.2,36
NS,146057,2022-08-02,7:30 AM,Derailment,0,WEST FAIRVIEW,PA,85,1,Dawn,Clear,Yard,Yard/switching,6,15750,3350,19100,H504,40.279832,-76.922472,73.7,81.3,80.1
CSX,000215383,2024-01-05,12:00 AM,Other impacts,0,NEW CASTLE,PA,32,4,Dark,Cloudy,Yard,Single Car,4,42126,0,42626,H318,40.969832,-80.372767,28.7,25.6,29.2
IAIS,2016041,2016-08-05,5:45 PM,Other impacts,0,SILVIS,IL,85,3,Dusk,Clear,Yard,Light loco(s),2,60000,0,60000,H017,41.510209,-90.398697,79.6,75.8,72.3
CSX,000213894,2023-10-05,6:50 PM,Derailment,0,NORTH CHARLESTON,SC,75,3,Dusk,Clear,Yard,Yard/switching,5,15042,1554,16596,H704,32.846129,-79.968544,73.2,74.2,74.6
CSX,000145331,2015-04-23,2:50 AM,Side collision,0,FLORENCE,SC,60,4,Dark,Clear,Yard,Freight Train,4,31190,2251,144333,M504,34.199168,-79.76137,65.4,67,60.5
CSX,000205344,2022-06-04,2:15 AM,Hwy-rail crossing,0,NASHVILLE,TN,65,4,Dark,Clear,Main,Freight Train,7,16024,592,16616,M308,36.090332,-86.750159,74.5,72.3,73.6
BNSF,TX0915104,2015-09-21,5:30 AM,Side collision,0,JUSTIN,TX,70,4,Dark,Cloudy,Yard,Light loco(s),7,45000,6000,96000,H607,33.008322,-97.353691,75.4,78,81.3
UP,0221PN027,2021-02-20,10:55 AM,Other impacts,0,STANFIELD,OR,29,2,Day,Cloudy,Yard,Cut of cars,0,65338,0,168514,E30C,45.795178,-119.257077,34.1,35.4,42.9
UP,0116HO032,2016-01-23,1:21 AM,Hwy-rail crossing,0,HUMBLE,TX,39,4,Dark,Clear,Main,Freight Train,59,573,100000,100573,M308,29.891116,-95.306633,44.9,42.8,52.1
CSX,000202890,2022-02-04,6:30 AM,Derailment,0,SPARTANBURG,SC,53,1,Dawn,Cloudy,Yard,Freight Train,8,97841,0,97841,H019,34.949146,-81.936776,44.6,56.2,37.5
NS,151689,2022-12-12,1:45 AM,Other (describe in narrative),0,SAXON,SC,46,4,Dark,Fog,Yard,Cut of cars,3,8928,44059,52987,H702,34.961144,-81.957403,47.5,48.2,41.5
EJR,EJR111816,2016-11-18,12:30 AM,Other impacts,0,BAYONNE,NJ,55,4,Dark,Cloudy,Yard,Freight Train,5,60000,0,60000,H017,40.6573,-74.1018,54.6,54.4,52.4
ATK,172800,2022-11-17,9:04 PM,Derailment,0,EUGENE,OR,33,4,Dark,Clear,Yard,Passenger Train - Pulling,5,60428,0,60560,H607,44.07157,-123.13546,35.7,33.8,35
BNSF,PR0119125,2019-01-28,4:00 AM,Derailment,0,EDGEMONT,SD,15,1,Dawn,Clear,Yard,Freight Train,1,16081,100000,116081,H607,43.287853,-103.826451,35.6,18.8,10.7
UP,0122GP017,2022-01-11,4:40 PM,Derailment,0,FAIRFIELD,NE,55,2,Day,Clear,Main,Freight Train,50,3646,132700,136346,E86C,40.444133,-98.137089,31.6,38.6,40.3
UP,1117PD023,2017-11-13,6:50 PM,Derailment,0,PORTLAND,OR,23,4,Dark,Clear,Yard,Yard/switching,4,55861,1155,57016,H704,45.604932,-122.748253,50.4,50.7,51.2
NS,156656,2024-05-10,12:45 AM,Other impacts,0,OAKWOD,MI,50,4,Dark,Clear,Yard,Freight Train,0,34000,0,55800,H306,42.279664,-83.16782,53.2,53.9,51
CSX,000167990,2017-04-04,10:30 AM,Side collision,0,MOBILE,AL,75,2,Day,Clear,Yard,Yard/switching,2,48600,0,81785,H307,30.711374,-88.046532,72.3,71.3,79
CSX,000170469,2017-07-25,10:50 AM,Other impacts,0,INDIANAPOLIS,IN,72,2,Day,Cloudy,Yard,Single Car,6,0,328,15386,E04C,39.759791,-86.327526,74.8,71.9,74.7
NS,140998,2021-03-21,2:03 AM,Derailment,0,CHATTANOOGA,TN,48,4,Dark,Clear,Yard,Light loco(s),1,14260,0,14260,H018,35.082989,-85.244258,52.7,53.4,59.6
BNSF,TC0922104,2022-09-18,1:15 AM,Derailment,0,UTICA,SD,65,4,Dark,Clear,Main,Freight Train,23,549824,171284,721108,T216,42.978496,-97.493536,71,66.9,71.9
CSX,000212408,2023-07-18,4:25 PM,Derailment,0,NASHVILLE,TN,83,3,Dusk,Cloudy,Yard,Freight Train,6,310062,119007,429069,E64C,36.112136,-86.770713,79.2,77.5,72.6
BNSF,HL1020107,2020-10-09,11:21 PM,Derailment,0,MEMPHIS,TN,66,4,Dark,Rain,Main,,0,0,92622,103422,E48C,35.127008,-90.063511,67.8,68.3,69.6
CUOH,CUO734224D,2024-03-13,3:42 AM,Derailment,0,AMSTERDAM,OH,46,4,Dark,Clear,Main,Freight Train,9,0,39261,39261,T221,40.391239,-80.902954,53.7,56.9,58.7
BNSF,KS0316106,2016-03-21,1:15 AM,Side collision,0,AMARILLO,TX,38,4,Dark,Clear,Yard,Light loco(s),8,4185,0,24038,H607,35.191656,-101.831324,39.6,55.8,65.5
CSX,000184281,2019-07-20,9:30 PM,Hwy-rail crossing,0,HARDEEVILLE,SC,80,4,Dark,Clear,Main,,0,0,97,11495,M302,32.259347,-81.107492,83,82.5,84.9
NS,134417,2019-06-20,3:15 PM,Other (describe in narrative),0,MASCOT,TN,75,2,Day,Cloudy,Yard,Freight Train,4,11883,22332,34215,H702,36.033005,-83.817278,74.8,72.3,74.4
CORP,COR537420D,2020-09-02,2:22 AM,Derailment,0,GLENDALE,OR,58,4,Dark,Clear,Main,Freight Train,10,6960,13900,20860,E47C,42.740798,-123.435355,70.7,74.6,77.5
NS,116602,2015-07-20,1:30 AM,Derailment,0,STOBO,PA,75,4,Dark,Clear,Yard,Yard/switching,5,82045,165402,247447,M405,40.672361,-80.251826,79.5,76.7,73.7
CSX,000211454,2023-05-25,11:23 AM,Hwy-rail crossing,0,MEMPHIS,TN,80,2,Day,Clear,Main,Light loco(s),47,274,145868,146142,M308,35.19037,-89.890899,73.4,76,73.5
CSX,000196621,2021-03-27,3:17 AM,Derailment,0,MADISON,TN,60,4,Dark,Cloudy,Main,Freight Train,27,650651,0,1379358,E04C,36.244176,-86.724965,61.2,58.5,57.7
NJTR,202210394,2022-09-27,8:45 AM,Derailment,0,MORRISVILLE,PA,51,2,Day,Clear,Yard,Commuter Train - Pulling,5,25933,0,25933,H607,40.194845,-74.792465,65,62.2,58.6
NJTR,201811516,2018-10-24,12:03 AM,Derailment,0,KEARNY,NJ,57,4,Dark,Cloudy,Yard,Yard/switching,8,56300,75476,131776,H704,40.744347,-74.107749,53.6,49,45.1
UP,0519PN015,2019-05-17,7:15 AM,Obstruction,0,UMATILLA,OR,53,2,Day,Rain,Main,Freight Train,40,21875,613,22488,M101,45.942214,-119.073659,59.2,59.7,60.8
BNSF,RD0518121,2018-05-23,4:00 PM,Derailment,0,TULSA,OK,89,2,Day,Clear,Yard,Yard/switching,5,1681,34000,35681,H307,36.121135,-96.01038,77.9,76,78.7
ATK,180312,2024-05-15,3:20 PM,Other (describe in narrative),0,HARRISBURG,PA,68,2,Day,Clear,Main,,0,0,35000,35000,H996,40.267748,-76.879911,62.5,63.5,66.8
CSX,000184496,2019-07-30,8:30 PM,Derailment,0,BALTIMORE,MD,90,4,Dark,Clear,Main,Yard/switching,8,8741,4920,13661,M204,39.24158,-76.620423,84.5,85.2,80.6
NS,145383,2022-05-27,5:45 PM,Other impacts,0,CONWAY,PA,72,3,Dusk,Clear,Yard,Single Car,0,80666,0,81129,M411,40.672361,-80.251826,66.6,65.2,62.1
CSX,000216112,2024-02-09,3:02 AM,Other impacts,0,NASHVILLE,TN,55,4,Dark,Clear,Yard,Yard/switching,6,37985,4023,71309,H510,36.112136,-86.770713,54.9,56.7,59.1
CSX,000166603,2017-02-07,1:50 PM,Obstruction,0,SOUTH PITTSBURG,TN,60,2,Day,Rain,Main,Maint./inspect Car,20,54950,0,54950,H993,34.995425,-85.620934,47.3,56.2,58
ATK,151068,2017-12-20,7:42 AM,Hwy-rail crossing,0,WINDCREST,TX,50,1,Dawn,Fog,Main,Passenger Train - Pulling,40,23820,0,24036,M302,29.503273,-98.399888,62.3,58.4,61.2
UP,0617FW033,2017-06-29,7:18 PM,Derailment,0,FORT WORTH,TX,90,3,Dusk,Clear,Yard,Yard/switching,10,39315,8669,47984,T219,32.724742,-97.374652,82.2,84.6,87.7
NS,127439,2017-11-16,11:00 AM,Derailment,0,CONWAY,PA,45,2,Day,Clear,Yard,Yard/switching,7,3675,13136,16811,M411,40.672356,-80.251823,38.7,41.5,37.8
KCS,20042402,2020-04-24,7:27 AM,Derailment,0,SHREVEPORT,LA,58,2,Day,Clear,Main,,0,0,10786,121543,H524,32.5146,-93.744518,68.9,69.1,66.5
NS,134801,2019-07-21,8:30 PM,Derailment,0,RHEATOWN,TN,86,4,Dark,Clear,Main,Freight Train,29,10000,2792,12792,E39C,36.198422,-82.709081,78.5,78.5,73.8
NS,121458,2016-07-28,9:15 PM,Derailment,0,SPRING CITY,TN,85,4,Dark,Clear,Main,Freight Train,46,3249873,2478279,5728152,E61C,35.696645,-84.857457,80,75.2,75.4
CSX,000170035,2017-07-05,3:00 AM,Other impacts,0,NORTH CHARLESTON,SC,80,4,Dark,Clear,Yard,Yard/switching,5,15000,0,42927,H020,32.85697,-80.022954,84,86.3,84.8
CSX,000209675,2023-02-06,12:23 PM,Derailment,0,HAMILTON,OH,50,2,Day,Clear,Main,Freight Train,1,28368,9081,37449,H019,39.427454,-84.537003,45.3,36.7,47.9
ATK,158717,2019-04-29,12:04 PM,Side collision,0,PHILADELPHIA,PA,61,2,Day,Clear,Yard,Light loco(s),4,40001,11625,63747,H306,39.953148,-75.138802,56.1,51.7,60.6
UP,0316PD007,2016-03-07,11:00 AM,Other impacts,0,PORTLAND,OR,55,2,Day,Clear,Yard,Light loco(s),0,21129,0,22934,H312,45.544302,-122.684116,50.3,47.6,43
NS,137087,2020-02-07,12:57 PM,Obstruction,0,COLUMBIA,SC,60,2,Day,Clear,Main,Freight Train,38,318850,404264,723114,M404,34.070457,-81.081917,65.7,50.5,39.4
CSX,000193998,2020-11-23,1:00 AM,Rear end collision,0,FLORENCE,SC,50,4,Dark,Clear,Yard,Freight Train,0,132,0,29868,H307,34.198275,-79.762502,58.1,57.6,46.8
NS,141751,2021-06-02,11:53 PM,Other impacts,0,HARRISBURG,PA,68,4,Dark,Clear,Industry,Freight Train,5,78319,333,78652,M208,40.259354,-76.873661,65.4,69.8,68.9
NS,145127,2022-04-30,9:51 AM,Other impacts,0,MASCOT,TN,72,2,Day,Clear,Yard,Yard/switching,3,3017,0,28017,H307,36.033044,-83.817204,63.7,68.6,70.5
UP,0719PN008,2019-07-11,12:56 AM,Other impacts,0,HERMISTON,OR,76,4,Dark,Cloudy,Yard,Single Car,0,46522,798,47479,H312,45.797603,-119.299522,77.3,78.1,77.9
UP,0516LK007,2016-05-04,4:03 AM,Obstruction,0,REDWATER,TX,65,4,Dark,Cloudy,Main,Freight Train,50,22095,0,22095,M101,33.353854,-94.272419,59.6,66.3,66.3
ATK,165854,2020-11-02,2:50 PM,Derailment,0,PHILADELPHIA,PA,65,2,Day,Clear,Yard,Yard/switching,4,12000,0,12000,M201,39.960601,-75.182714,48.7,42.5,47.9
NS,128345,2018-01-31,7:00 AM,Other (describe in narrative),0,CONWAY,PA,14,1,Dawn,Cloudy,Yard,Light loco(s),4,14932,1500,16432,H702,40.672356,-80.251823,18.8,25.6,40.1
UP,0417HO009,2017-04-09,11:09 AM,Other impacts,0,HOUSTON,TX,75,2,Day,Cloudy,Yard,Yard/switching,10,75456,0,418401,H307,29.810249,-95.288653,70.4,71.7,74
ATK,136487,2015-02-27,3:40 PM,Derailment,0,PHILADELPHIA,PA,27,2,Day,Clear,Yard,Light loco(s),2,31300,0,31300,M101,39.957024,-75.183434,29.1,26,23.2
NS,126397,2017-08-26,6:15 PM,Derailment,0,CONWAY,PA,70,3,Dusk,Clear,Yard,Yard/switching,4,37460,40328,77788,H704,40.672356,-80.251823,61.1,62.5,66.1
BNSF,SW0217103,2017-02-08,11:50 PM,Derailment,0,GALLUP,NM,38,4,Dark,Clear,Yard,Freight Train,9,18000,28000,46000,H307,35.526115,-108.74972,41.1,41.8,42.5
NS,146473,2022-09-12,10:30 PM,Other (describe in narrative),0,NORTH CHARLESTON,SC,72,4,Dark,Clear,Yard,Freight Train,9,9217,5982,15199,H702,32.867705,-79.999531,81.7,79.7,79.2
UP,0717HO007,2017-07-07,3:39 AM,Hwy-rail crossing,0,SPRING,TX,85,4,Dark,Clear,Main,Freight Train,19,4188,15100,19288,M308,30.09673,-95.50671,85.2,84,85.1
UP,0317FW037,2017-03-29,5:40 PM,Derailment,5,MALAKOFF,TX,81,2,Day,Cloudy,Main,Freight Train,46,1573067,421514,1994581,M599,32.168728,-96.012366,70.8,68.3,60.5
CSX,000210154,2023-03-02,12:15 PM,Derailment,0,NORTH CHARLESTON,SC,65,2,Day,Clear,Yard,Yard/switching,5,22932,0,22932,H306,32.856947,-80.022919,71.4,71.3,72.3
IC,985311,2019-01-12,4:00 AM,Other (describe in narrative),0,SOUTH FULTON,TN,37,4,Dark,Clear,Main,Freight Train,5,0,15535,15535,H702,36.470776,-88.915079,31.9,40.8,38
NS,152975,2023-05-01,11:15 AM,Rear end collision,0,ALEXANDRIA,PA,39,2,Day,Sleet,Main,Freight Train,0,5200,0,290275,H605,40.602179,-78.131051,52.9,45.1,41.1
NS,129463,2018-05-14,7:25 PM,Derailment,0,BRAVE,PA,67,3,Dusk,Cloudy,Industry,Freight Train,10,100000,6618,106618,M101,39.7213,-80.275041,70,69.1,73.4
BNSF,TX0116102,2016-01-05,11:00 AM,Derailment,0,DUNCANVILLE,TX,40,2,Day,Clear,Yard,Cut of cars,4,63966,3500,67466,H020,32.689452,-96.904955,41.4,37.8,44.2
NS,122490,2016-10-21,2:05 PM,Hwy-rail crossing,0,MT. HOLLY SPRINGS,PA,72,2,Day,Cloudy,Main,Freight Train,27,1879,60623,62502,M303,40.113894,-77.284288,70.5,66.5,52.8
BNSF,KS1115114,2015-11-12,4:45 AM,Other (describe in narrative),0,SLATON,TX,42,1,Dawn,Clear,Yard,Light loco(s),5,11461,0,11461,H525,33.442661,-101.638103,54.7,45.6,48.1
BNSF,RD0418123,2018-04-23,7:40 PM,Derailment,0,FORT WORTH,TX,65,3,Dusk,Clear,Yard,Freight Train,7,11324,1500,12824,M409,32.828623,-97.335547,59.3,63.9,70.7
CSX,000158958,2016-04-12,8:45 AM,Derailment,0,HAMLET,NC,58,2,Day,Rain,Yard,Yard/switching,4,16520,1645,18165,E04C,34.925491,-79.646587,59.6,60.3,57.6
NS,143439,2021-11-12,7:45 AM,Derailment,0,SANKERTOWN,PA,40,1,Dawn,Clear,Main,Freight Train,11,162782,48035,210817,H507,40.474316,-78.582024,52.1,50,37.7
NS,156437,2024-04-21,9:48 AM,Other impacts,0,CONWAY,PA,47,2,Day,Cloudy,Yard,Single Car,7,8700,0,23100,S016,40.672362,-80.251826,51.2,41.5,47.2
CSX,000156252,2016-01-15,2:00 PM,Side collision,0,GEORGETOWN,SC,50,2,Day,Rain,Industry,Cut of cars,5,0,0,124300,M105,33.332801,-79.374769,40.3,50.2,52.9
BNSF,HL0820107,2020-08-10,10:30 PM,Derailment,0,MEMPHIS,TN,82,4,Dark,Clear,Yard,Cut of cars,0,3000,0,18000,E06C,35.036356,-89.909084,85.2,86.5,82.7
TRRA,20021,2020-07-25,1:40 AM,Derailment,0,MADISON,IL,80,4,Dark,Cloudy,Yard,,0,0,28500,41500,E46C,38.675291,-90.162175,81.2,82.8,84.3
CSX,000193998,2020-11-23,1:00 AM,Rear end collision,1,FLORENCE,SC,50,4,Dark,Clear,Yard,Yard/switching,10,29736,0,29868,H307,34.198275,-79.762502,58.1,57.6,46.8
UP,0317SA012,2017-03-12,1:24 PM,Hwy-rail crossing,0,COTULLA,TX,64,2,Day,Cloudy,Main,Freight Train,59,15000,0,15000,M302,28.602183,-99.189647,70.2,62.3,59.5
UP,0322GL006,2022-03-05,5:15 AM,Other impacts,0,CEDAR RAPIDS,IA,45,1,Dawn,Cloudy,Yard,Freight Train,9,92295,35400,306840,H307,41.919799,-91.767628,34,50.7,32.1
UP,0816HO017,2016-08-08,6:05 AM,Derailment,0,HOUSTON,TX,90,2,Day,Clear,Main,Freight Train,4,42901,210559,253460,H707,29.757045,-95.294606,88.3,87.9,88.7
NS,153868,2023-08-09,9:34 AM,Side collision,0,ELKHART,IN,76,2,Day,Clear,Yard,Freight Train,5,8361,500,13744,H307,41.677392,-85.978437,69.5,70.8,70.4
FEC,X19060519,2019-06-05,9:30 AM,Hwy-rail crossing,0,MIAMI-DADE,FL,80,2,Day,Clear,Main,,0,0,14132,39591,M303,25.532698,-80.101439,83.1,83.7,82.7
ATK,162054,2019-11-21,3:13 PM,Obstruction,0,GERMANTOWN,NY,40,2,Day,Clear,Main,Passenger Train - Pulling,80,15352,0,15352,M404,42.143098,-73.894017,37,38.6,43.7
UP,0416SA023,2016-04-30,9:00 AM,Derailment,0,MCNEIL,TX,85,2,Day,Clear,Main,,0,0,804803,832803,T222,30.453581,-97.720417,79,76.6,73.5
TXNW,TXNW160805,2016-08-05,4:00 AM,Derailment,0,ETTER,TX,65,4,Dark,Cloudy,Yard,,0,0,0,64800,H307,36.023551,-101.975659,82.7,75.1,79
NS,144449,2022-02-19,2:00 PM,Other (describe in narrative),0,WEST FAIRVIEW,PA,36,2,Day,Clear,Yard,Freight Train,4,22816,2831,25647,H702,40.279807,-76.922451,43.5,29.5,29.3
BNSF,HL0821105,2021-08-09,2:20 PM,Derailment,0,MEMPHIS,TN,87,2,Day,Clear,Yard,Light loco(s),2,500,24800,25300,H307,35.02647,-89.896679,82.1,85.3,86.1
BNSF,RD0317117,2017-03-22,4:00 PM,Derailment,0,GALVESTON,TX,80,2,Day,Clear,Yard,Light loco(s),0,1000,0,40279,H607,29.295399,-94.835865,73.7,73.7,73.8
UP,0816SA023,2016-08-31,9:41 PM,Derailment,0,VICTORIA,TX,86,4,Dark,Clear,Industry,Spec. MoW Equip.,4,19123,0,19123,H305,28.825374,-97.0052,76.3,79,82.4
CSX,000184659,2019-08-10,8:30 PM,Side collision,0,CHATTANOOGA,TN,90,3,Dusk,Clear,Yard,Freight Train,2,60060,128,65550,H999,35.012658,-85.371483,84,83.5,84
CSX,000177077,2018-06-17,4:15 PM,Derailment,0,CORNERSVILLE,TN,85,2,Day,Clear,Siding,Freight Train,0,44881,79528,546157,T213,35.34072,-86.845115,79.6,79.7,78.2
WE,150147,2015-11-06,5:00 AM,Obstruction,0,AVELLA,PA,45,4,Dark,Clear,Main,Freight Train,25,13453,674,14127,M101,40.270914,-80.489891,65.3,64.7,48.3
BNSF,NW0918110,2018-09-18,2:45 PM,Derailment,0,KLAMATH FALLS,OR,65,2,Day,Clear,Yard,Freight Train,0,9931,0,491034,H503,42.189205,-121.762282,52.5,54.2,52.4
CSX,000185821,2019-10-07,10:00 AM,Other impacts,0,PHILADELPHIA,PA,73,2,Day,Cloudy,Yard,Yard/switching,4,8957,0,54511,H318,39.898302,-75.16734,64.8,73,61.1
BNSF,HL0220117,2020-02-24,6:30 AM,Derailment,0,MEMPHIS,TN,45,1,Dawn,Rain,Yard,Yard/switching,5,560,24076,24636,E31C,35.025977,-89.892539,46.4,52.5,49.8
