reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude,prior_temp,actual_temp,following_temp
BNSF,KS0616112,6/29/2016,5:39 PM,Derailment,0,TOPEKA,KS,94,3,Dusk,Clear,Yard,Light loco(s),6,15129,250,15379,T314,39.049476,-95.664527,77.3,76.1,78.7
UP,1118KC009,11/10/2018,2:33 AM,Derailment,0,LINCOLNVILLE,KS,11,4,Dark,Clear,Main,Freight Train,35,1187068,892616,2079684,T299,38.517423,-96.963143,26.4,26.3,34.5
CSX,000181854,3/16/2019,12:59 PM,Derailment,0,DEARBORN,MI,37,2,Day,Clear,Yard,Freight Train,5,21276,2024,23300,T111,42.293023,-83.140079,41.5,33.6,30.0
BNSF,HL1023118,10/29/2023,6:30 AM,Derailment,0,NORTH KANSAS CITY,MO,30,1,Dawn,Clear,Yard,Freight Train,2,88202,33040,121242,T207,39.148899,-94.585635,36.5,36.3,33.5
CSX,000141895,2/22/2015,10:30 AM,Other impacts,0,AVON,IN,25,2,Day,Cloudy,Yard,Single Car,4,4417,100,71840,T305,39.759779,-86.328326,22.4,23.1,10.2
BNSF,TC1118108,11/20/2018,2:52 AM,Derailment,0,BEMIDJI,MN,10,4,Dark,Snow,Main,Freight Train,35,530536,92000,622536,T204,47.47537,-94.906924,8.2,13.3,12.3
CSX,000178533,9/1/2018,7:00 PM,Derailment,0,MOBILE,AL,80,3,Dusk,Clear,Industry,Freight Train,4,3500,9060,12560,T111,30.711374,-88.046532,81.1,79.1,82.1
BNSF,NE0715110,7/20/2015,12:30 PM,Derailment,0,NORTH KANSAS CITY,MO,92,2,Day,Clear,Yard,Yard/switching,5,13300,1500,14800,T310,39.13139,-94.585215,82.0,79.9,76.3
NS,114061,1/27/2015,9:30 AM,Derailment,0,HALFWAY,MD,23,2,Day,Snow,Yard,Yard/switching,3,4800,22836,27636,T110,39.611674,-77.741987,28.3,26.3,22.8
CSX,000212990,8/18/2023,10:45 PM,Derailment,0,BERLIN,MA,65,4,Dark,Clear,Main,Freight Train,10,30381,1035,31416,T205,42.399178,-71.65875,68.4,69.9,64.9
BNSF,HL1123106,11/9/2023,12:13 PM,Derailment,0,NORTH KANSAS CITY,MO,60,2,Day,Clear,Yard,Yard/switching,2,25128,1500,26628,T101,39.138691,-94.585503,62.6,48.3,45.2
BNSF,HL0518119,5/28/2018,4:17 PM,Derailment,0,NORTH KANSAS CITY,MO,91,2,Day,Cloudy,Yard,Freight Train,0,0,800,25997,T319,39.132581,-94.585212,84.5,85.2,82.4
UP,0816LV001,8/1/2016,6:00 PM,Derailment,0,LIVONIA,LA,91,2,Day,Clear,Yard,Yard/switching,10,8652,64426,73078,T107,30.544368,-91.568988,81.8,82.2,84.6
SERA,SERA202204,3/8/2022,3:30 PM,Derailment,0,JAMESTOWN,CA,72,2,Day,Clear,Main,Freight Train,10,80000,20000,100000,T110,37.94948,-120.417261,44.0,48.7,49.0
NS,139776,11/18/2020,4:40 PM,Derailment,0,WENTZVILLE,MO,52,3,Dusk,Clear,Yard,Light loco(s),4,27438,450,27888,T207,38.812284,-90.831317,42.6,47.2,62.5
WC,847567,4/22/2015,7:50 PM,Derailment,0,VULCAN,MI,40,4,Dark,Clear,Main,Freight Train,22,197686,80025,277711,T202,45.773978,-87.841875,35.8,28.6,34.5
UP,1114SL009,11/17/2014,10:00 AM,Derailment,0,STE GENEVIEVE,MO,31,2,Day,Cloudy,Yard,Yard/switching,9,22121,21200,43321,T314,38.00463,-90.060582,31.3,22.2,20.6
BNSF,CH1221101,12/6/2021,1:40 PM,Derailment,0,RIVERDALE,IA,32,2,Day,Clear,Industry,Freight Train,4,1070,145000,146070,T111,41.534818,-90.456461,37.7,25.4,19.2
FEC,D20051619,5/16/2019,2:10 PM,Derailment,0,MIAMI-DADE,FL,85,2,Day,Clear,Yard,Yard/switching,7,24841,12346,37187,T111,25.817979,-80.306198,80.4,78.6,78.3
MNN,MN10262022,10/26/2022,8:25 AM,Derailment,0,BADGER,MN,33,2,Day,Clear,Main,Freight Train,3,0,0,0,T202,48.771925,-96.027499,35.6,34.9,43.0
LSRC,D160406A,4/6/2016,7:18 AM,Derailment,0,SAGINAW,MI,35,1,Dawn,Snow,Yard,Freight Train,6,23892,3000,26892,T399,43.439708,-83.92647,29.6,37.9,35.8
UP,0119GC065,1/24/2019,6:15 AM,Derailment,0,ALEXANDRIA,LA,28,1,Dawn,Clear,Yard,Yard/switching,4,13109,61676,74785,T319,31.2604,-92.436703,43.5,37.9,41.3
BNSF,NE0615104,6/13/2015,3:22 AM,Derailment,0,AMAZONIA,MO,65,4,Dark,Cloudy,Main,Freight Train,36,1823368,816511,2639879,T001,39.844264,-94.879133,68.5,71.9,76.4
MER,MER00031F,8/22/2023,3:20 PM,Derailment,0,UNIVERSITY CITY,MO,99,2,Day,Clear,Industry,Freight Train,9,0,0,140000,T110,38.681483,-90.330168,86.1,88.2,88.9
BNSF,KS1019105,10/12/2019,10:54 AM,Derailment,0,NEWTON,KS,57,2,Day,Clear,Yard,Yard/switching,6,170820,49506,220326,T207,38.033847,-97.36481,39.1,48.8,52.8
BNSF,RD0621102,6/2/2021,10:30 PM,Derailment,0,LAFAYETTE,LA,85,4,Dark,Clear,Yard,Freight Train,0,0,40762,55762,T108,30.23481,-92.034767,78.1,79.5,76.1
SKOL,190501004,5/1/2019,10:00 PM,Derailment,0,WINFIELD,KS,50,4,Dark,Clear,Main,Freight Train,7,6376,30000,36376,T113,37.267208,-97.138099,55.9,58.3,56.3
DREI,240612002,6/12/2024,7:40 AM,Derailment,0,DECATUR,IL,72,1,Dawn,Clear,Yard,Yard/switching,2,10251,3852,14103,T319,39.847532,-88.934312,65.9,77.2,80.8
NS,142397,7/29/2021,5:15 AM,Derailment,0,NEW HAVEN,IN,72,1,Dawn,Clear,Main,Freight Train,4,13650,9715,23365,T102,41.07162,-85.050622,76.3,77.2,69.3
GDLK,170503002,5/3/2017,2:00 AM,Derailment,0,BRISTOL,IN,45,4,Dark,Clear,Siding,Freight Train,7,14450,4800,19250,T110,41.713355,-85.832186,44.3,46.9,45.1
UP,0116WH001,1/4/2016,4:30 PM,Derailment,0,PARKER,KS,40,2,Day,Cloudy,Main,Freight Train,19,576512,111380,687892,T299,38.282228,-94.990329,28.7,22.9,27.7
WC,958753,5/10/2018,6:23 AM,Derailment,0,ALBORN,MN,32,1,Dawn,Clear,Main,Freight Train,26,276225,342547,618772,T001,47.010899,-92.585707,43.7,45.1,42.1
YVRR,02232021,2/23/2021,9:30 AM,Derailment,0,MOUNT AIRY,NC,53,2,Day,Clear,Main,Freight Train,10,9044,9913,18957,T199,36.433536,-80.592068,39.0,47.0,51.6
UP,0820GL024,8/21/2020,11:05 AM,Derailment,0,CLINTON,IA,77,2,Day,Clear,Industry,Freight Train,10,37843,400,38243,T113,41.818517,-90.216492,69.2,70.1,71.8
NS,142566,8/17/2021,9:40 AM,Derailment,0,IRONDALE,AL,76,2,Day,Cloudy,Yard,Freight Train,7,3500,41477,44977,T314,33.548905,-86.678009,79.6,78.9,83.0
BNSF,MT0322104,3/17/2022,4:00 AM,Derailment,0,GLENDIVE,MT,30,1,Dawn,Clear,Yard,Freight Train,10,30674,5000,35674,T202,47.110926,-104.705861,43.4,40.1,41.6
KO,180620004,6/20/2018,11:00 AM,Derailment,0,LARNED,KS,85,2,Day,Clear,Industry,Freight Train,5,21380,0,21380,T199,38.103438,-99.55429,82.3,72.3,72.0
NS,142448,8/5/2021,6:15 AM,Derailment,0,GARDEN CITY,GA,83,1,Dawn,Clear,Industry,Yard/switching,4,36,11228,11264,T110,32.112841,-81.149072,75.4,73.0,76.7
UP,0820HL015,8/14/2020,11:30 PM,Derailment,0,LABETTE,KS,79,4,Dark,Cloudy,Industry,Freight Train,5,26202,400,26602,T316,37.242113,-95.194488,79.8,82.2,82.7
BNSF,CH0717104,7/11/2017,7:51 AM,Derailment,0,EOLA,IL,85,1,Dawn,Clear,Yard,Freight Train,8,12000,5400,17400,T314,41.77222,-88.266164,75.4,75.8,75.5
BNSF,RD0418106,4/7/2018,4:40 AM,Derailment,0,LAFAYETTE,LA,70,1,Dawn,Rain,Main,Freight Train,9,82400,9500,91900,T314,30.234949,-92.071053,67.9,58.6,48.9
NS,126253,8/16/2017,12:25 PM,Derailment,0,MUNCIE,IN,84,2,Day,Clear,Main,Freight Train,23,138951,167699,306650,T102,40.235902,-85.366759,76.4,78.5,80.3
LSRC,D180424,4/24/2018,8:00 PM,Derailment,0,HARRISVILLE,MI,51,3,Dusk,Rain,Main,Freight Train,10,14065,1500,15565,T210,44.664302,-83.290007,41.7,46.9,41.3
UP,1220GL020,12/25/2020,6:00 AM,Derailment,1,ELKHART,IA,3,1,Dawn,Clear,Main,Freight Train,38,2033193,139232,2172425,T207,41.748778,-93.526985,7.8,14.9,26.5
BNSF,HL0822103,8/4/2022,12:59 PM,Derailment,0,CAPE GIRARDEAU,MO,95,2,Day,Clear,Yard,Freight Train,10,5500,11970,17470,T205,37.296305,-89.519504,83.3,77.1,79.6
UP,0122PR001,1/3/2022,12:20 PM,Derailment,0,DOLTON,IL,18,2,Day,Clear,Yard,Yard/switching,6,714,28748,29462,T201,41.620494,-87.612087,24.8,15.3,28.2
CSX,000177941,8/1/2018,2:50 PM,Derailment,0,INDIANAPOLIS,IN,70,2,Day,Clear,Yard,Yard/switching,4,8118,6664,14782,T103,39.759791,-86.327526,68.0,69.9,73.6
UP,1219GL025,12/15/2019,6:00 PM,Derailment,0,MANLY,IA,11,3,Dusk,Snow,Main,Freight Train,25,423046,1029033,1452079,T108,43.286422,-93.203613,12.6,6.8,17.8
ALS,0723AS012,7/16/2023,7:40 PM,Derailment,0,EAST ST LOUIS,IL,88,3,Dusk,Clear,Yard,Freight Train,0,0,600,25575,T403,38.583964,-90.135609,77.2,75.9,75.4
BNSF,CH1215109,12/14/2015,1:50 AM,Derailment,0,CHICAGO,IL,50,4,Dark,Rain,Yard,Yard/switching,2,24500,110744,135244,T113,41.820326,-87.715551,59.8,52.2,41.7
CSX,000180858,1/20/2019,9:35 PM,Derailment,0,JACKSONVILLE,FL,36,4,Dark,Clear,Yard,Freight Train,8,385598,3968,389566,T207,30.437041,-81.643089,64.4,53.2,42.7
UP,0617KC004,6/7/2017,8:20 PM,Derailment,0,KANSAS CITY,MO,75,4,Dark,Clear,Main,Freight Train,0,0,109223,294323,T308,39.120226,-94.49478,74.5,72.6,74.0
BNSF,CH1116107,11/13/2016,3:45 AM,Derailment,0,CHICAGO,IL,40,4,Dark,Clear,Yard,Freight Train,10,10000,115928,125928,T210,41.837048,-87.775461,43.7,46.5,49.5
EIRR,231211008,12/11/2023,6:15 PM,Derailment,0,BURLEY,ID,30,4,Dark,Clear,Yard,Freight Train,9,120580,26575,147155,T202,42.53429,-113.87449,35.0,32.5,33.7
BNSF,CA1118103,11/7/2018,9:50 AM,Derailment,0,PICO RIVERA,CA,72,2,Day,Clear,Main,Freight Train,0,0,10271,234944,T304,33.966799,-118.08907,67.3,65.5,66.8
ATK,146245,2/3/2017,12:30 PM,Derailment,0,BEECH GROVE,IN,22,2,Day,Clear,Yard,Yard/switching,5,59696,1000,60696,T199,39.721159,-86.080662,26.4,22.6,25.1
IC,963730,6/25/2018,1:14 PM,Derailment,0,GEISMAR,LA,92,2,Day,Clear,Yard,Yard/switching,4,19300,1000,20300,T318,30.168451,-90.966027,84.4,84.6,83.7
CSX,000178768,9/13/2018,5:40 PM,Derailment,0,MOBILE,AL,85,2,Day,Clear,Yard,Light loco(s),4,44994,64,45058,T311,30.666691,-88.048677,82.5,83.3,82.5
NS,128595,2/21/2018,5:10 PM,Derailment,0,JENNINGS,MO,32,3,Dusk,Rain,Yard,Freight Train,7,2400,26802,29202,T207,38.696169,-90.220972,58.2,30.3,38.7
IAIS,2020011,4/4/2020,12:45 PM,Derailment,0,COUNCIL BLUFFS,IA,48,2,Day,Clear,Yard,Yard/switching,10,8034,18315,26349,T314,41.234505,-95.836747,26.8,36.3,45.8
BNSF,CH0517100,5/3/2017,5:10 AM,Derailment,0,AURORA,IL,40,1,Dawn,Clear,Yard,Freight Train,0,0,47535,57535,T111,41.766509,-88.301509,45.1,47.3,48.7
NS,139240,9/23/2020,9:55 PM,Derailment,0,IRONDALE,AL,72,4,Dark,Rain,Yard,Freight Train,4,29137,2450,31587,T207,33.548905,-86.67801,64.8,70.2,66.9
GRS,20211125W1,11/25/2021,7:30 PM,Derailment,0,AYER,MA,38,4,Dark,Clear,Yard,Freight Train,5,27478,4475,31953,T110,42.55726,-71.6038,32.1,40.6,40.5
KO,210619,6/19/2021,1:00 PM,Derailment,0,WICHITA,KS,103,2,Day,Clear,Industry,Freight Train,4,34860,6800,41660,T399,37.592131,-97.410608,85.7,84.4,85.8
NPR,DR112001,11/12/2020,7:30 PM,Derailment,0,VIKING,MN,30,4,Dark,Clear,Main,Freight Train,25,305381,30000,335381,T210,48.222967,-96.428022,23.3,17.9,21.8
UP,0821GP027,8/24/2021,5:00 PM,Derailment,0,FAIRFIELD,NE,93,2,Day,Clear,Main,Freight Train,49,852876,218801,1071677,T109,40.449772,-98.148771,80.4,82.5,78.6
CSX,000165240,12/15/2016,2:56 AM,Derailment,0,ARJAY,KY,24,4,Dark,Clear,Industry,Freight Train,9,17281,3512,20793,T110,36.854461,-83.622591,37.1,23.1,26.5
BNSF,CA0115104,1/6/2015,1:20 AM,Derailment,0,PERRIS,CA,40,4,Dark,Clear,Industry,Freight Train,4,36310,2000,38310,T110,33.49168,-117.14592,59.5,59.9,58.4
UP,0420ES045,4/21/2020,12:45 PM,Derailment,0,COUNCIL BLUFFS,IA,57,2,Day,Clear,Yard,Spec. MoW Equip.,4,18548,33,18581,T499,41.249827,-95.898696,56.5,55.6,65.9
NS,144293,2/7/2022,1:45 AM,Derailment,0,DECATUR,IL,9,4,Dark,Clear,Yard,Cut of cars,8,18121,5136,23257,T201,39.856674,-88.902201,25.1,19.3,30.7
BNSF,TC1217103,12/4/2017,6:10 PM,Derailment,0,ORTONVILLE,MN,15,3,Dusk,Snow,Yard,Light loco(s),9,24500,5000,29500,T206,45.267754,-96.404768,33.8,33.5,18.3
FCRD,FCR250118,8/3/2018,10:00 AM,Derailment,0,FERNANDINA BEACH,FL,86,2,Day,Clear,Industry,Yard/switching,5,10200,2000,12200,T206,30.679068,-81.460666,79.0,80.2,82.3
BNSF,HL1120106,11/11/2020,5:41 PM,Derailment,0,PACIFIC JCTN,IA,55,3,Dusk,Clear,Yard,Freight Train,6,1183,18000,19183,T210,41.012494,-95.801077,32.6,37.0,32.7
WC,1093937,2/4/2022,6:35 AM,Derailment,0,GARY,IN,19,4,Dark,Clear,Yard,Yard/switching,5,113616,73662,187278,T204,41.629539,-87.406394,23.1,18.3,10.4
FEC,D27042617,4/26/2017,4:30 PM,Derailment,0,MIAMI-DADE,FL,78,2,Day,Clear,Yard,Light loco(s),6,17137,11368,28505,T307,25.839041,-80.305601,73.1,74.6,81.8
NS,142288,7/20/2021,4:03 PM,Derailment,0,SAVANNAH,GA,82,3,Dusk,Clear,Yard,Freight Train,6,2750,14355,17105,T207,32.083673,-81.136552,77.0,77.8,79.9
UP,1016KC007,10/16/2016,4:45 PM,Derailment,0,PAOLA,KS,75,2,Day,Clear,Main,Freight Train,37,547059,991104,1538163,T001,38.59718,-94.852578,68.0,74.3,77.0
CSX,000205894,6/30/2022,2:20 AM,Derailment,0,WAYCROSS,GA,80,4,Dark,Clear,Main,Freight Train,30,1548955,165001,1713956,T202,31.261068,-82.379491,78.3,77.8,78.3
IC,1128206,3/16/2023,1:00 AM,Derailment,0,KENNER,LA,53,4,Dark,Clear,Main,Freight Train,9,14567,68246,82813,T314,29.979918,-90.259895,57.1,63.5,62.4
IR,IR161611,11/17/2016,8:30 PM,Derailment,0,WEDRON,IL,45,4,Dark,Clear,Yard,Freight Train,9,408000,51000,459000,T311,41.430116,-88.7745,48.2,59.8,54.0
UP,0715SL005,7/13/2015,2:15 PM,Derailment,0,WEINGARTEN,MO,96,2,Day,Clear,Industry,Freight Train,6,13678,500,14178,T110,37.870728,-90.242838,81.8,84.1,85.1
KCT,UP05212016,5/21/2016,4:41 PM,Derailment,0,KANSAS CITY,KS,74,2,Day,Clear,Main,Freight Train,0,0,14905,50108,T103,39.08442,-94.610875,60.9,64.2,70.4
BNSF,HL1122106,11/15/2022,2:30 AM,Derailment,0,NORTH KANSAS CITY,MO,33,4,Dark,Rain,Yard,Freight Train,5,6464,8110,14574,T001,39.1284,-94.586528,36.0,33.2,27.8
LSRC,D180617,6/17/2018,3:00 AM,Derailment,0,BAY CITY,MI,73,4,Dark,Clear,Main,Freight Train,7,39200,65066,104266,T110,43.61301,-83.887257,72.6,81.1,80.4
MAUP,012419,1/24/2019,3:20 PM,Derailment,0,PALMETTO,FL,75,2,Day,Clear,Industry,Yard/switching,6,100,25644,25744,T110,27.638143,-82.536624,69.8,67.4,56.1
BNSF,HL0822102,8/3/2022,12:30 PM,Derailment,0,NORTH KANSAS CITY,MO,95,2,Day,Cloudy,Yard,Light loco(s),5,310,32238,32548,T001,39.139265,-94.585395,88.5,83.7,83.4
UP,0617KC010,6/15/2017,1:30 PM,Derailment,0,KANSAS CITY,MO,93,2,Day,Clear,Yard,Yard/switching,3,19805,7600,27405,T109,39.12239,-94.506452,83.6,81.7,82.7
IC,1152601,7/13/2024,9:30 PM,Derailment,0,JACKSON,MS,77,4,Dark,Clear,Yard,Freight Train,4,12050,15000,27050,T319,32.327841,-90.187238,83.8,85.2,84.5
SJVR,SJV780018D,9/9/2018,3:10 PM,Derailment,0,FRESNO,CA,85,2,Day,Clear,Yard,Freight Train,8,70681,4409,75090,T110,36.720634,-119.771765,83.9,80.8,80.0
CSX,000193986,11/20/2020,6:53 PM,Derailment,0,HAMLET,NC,55,3,Dusk,Clear,Yard,Yard/switching,0,0,0,170635,T199,34.925491,-79.646587,41.8,49.6,54.5
BNSF,SF0115110,1/20/2015,4:06 PM,Derailment,0,ST LOUIS,MO,47,2,Day,Clear,Yard,Yard/switching,5,2698,22000,24698,T202,38.699274,-90.215679,39.3,39.2,39.8
BNSF,KS1217101,12/8/2017,3:25 AM,Derailment,0,KANSAS CITY,KS,41,4,Dark,Clear,Yard,Yard/switching,5,38354,250,38604,T305,39.085002,-94.69132,24.5,30.8,33.8
EIRR,230904001,9/4/2023,3:35 PM,Derailment,0,ST ANTHONY,ID,63,2,Day,Rain,Industry,Freight Train,7,11055,7174,18229,T201,43.958981,-111.682788,61.9,56.4,61.4
CSX,000193164,10/10/2020,3:30 PM,Derailment,0,BIRMINGHAM,AL,70,2,Day,Cloudy,Yard,Freight Train,5,8000,0,12500,T001,33.529087,-86.790902,70.5,71.6,71.1
NOGC,OP05172019,5/17/2019,12:05 PM,Derailment,0,GRETNA,LA,80,2,Day,Clear,Main,Freight Train,5,60000,67000,127000,T110,29.920208,-90.058891,77.9,77.9,80.2
LSI,72163,3/16/2023,10:40 AM,Derailment,0,PALMER,MI,20,2,Day,Cloudy,Industry,Freight Train,7,1000,59150,60150,T111,46.435951,-87.646491,32.6,35.9,23.3
KJRY,KJRY220405,4/5/2022,1:21 PM,Derailment,0,LA HARPE,IL,45,2,Day,Cloudy,Yard,Freight Train,4,14996,2600,17596,T110,40.576917,-90.971578,44.1,43.5,47.9
NS,129175,4/18/2018,5:45 AM,Derailment,0,NORTH KANSAS CITY,MO,72,1,Dawn,Clear,Main,Freight Train,3,7500,21136,28636,T313,39.146504,-94.548902,51.2,46.6,47.4
BNSF,SW0621105,6/14/2021,3:17 PM,Derailment,0,MESITA,NM,102,2,Day,Clear,Main,Freight Train,44,1532119,1700000,3232119,T109,35.021947,-107.313769,80.9,82.0,83.5
UP,0217KC017,2/17/2017,7:06 PM,Derailment,0,ST JOSEPH,MO,49,4,Dark,Clear,Yard,Light loco(s),4,35310,528,35838,T102,39.736615,-94.863157,51.3,57.0,49.8
ATK,137946,6/22/2015,6:37 PM,Other (describe in narrative),0,MYSTIC GROTON,CT,86,4,Dark,Cloudy,Main,Passenger Train - Pulling,100,22816,0,22816,T401,41.349188,-71.96963,71.1,75.3,70.8
UP,0716LV008,7/10/2016,4:40 AM,Derailment,0,LIVONIA,LA,75,4,Dark,Cloudy,Yard,Yard/switching,4,9366,62603,71969,T107,30.539812,-91.564895,82.4,79.0,78.8
UP,0521HL015,5/24/2021,10:49 AM,Derailment,0,LOUISVILLE,NE,69,2,Day,Cloudy,Industry,Freight Train,9,17474,16760,34234,T110,41.005548,-96.157359,73.8,73.7,74.8
SERA,SERA202206,3/24/2022,4:30 PM,Derailment,0,CHINESE CAMP,CA,87,2,Day,Clear,Main,Freight Train,5,0,10000,10000,T109,37.741484,-120.542242,67.0,67.9,66.1
NJTR,201412720,12/20/2014,5:32 PM,Derailment,0,DOVER,NJ,40,4,Dark,Clear,Yard,Yard/switching,9,55800,0,55800,T113,40.884185,-74.548002,33.5,30.2,31.9
ATK,144330,9/19/2016,5:40 AM,Other (describe in narrative),0,TRENTON,NJ,75,1,Dawn,Clear,Main,EMU,0,0,1000,12000,T404,40.218913,-74.753415,75.0,71.3,73.1
CSX,000163272,10/1/2016,5:55 PM,Derailment,0,JACKSONVILLE,FL,80,2,Day,Clear,Yard,Freight Train,5,11452,1146,12598,T206,30.320827,-81.693524,81.3,79.3,80.2
CRSH,146841,3/8/2024,4:10 PM,Derailment,0,KEARNY,NJ,47,3,Dusk,Clear,Industry,Yard/switching,6,10660,35968,46628,T110,40.739313,-74.098305,51.5,46.4,43.6
UP,0322GC027,3/29/2022,2:45 AM,Derailment,0,PORT ALLEN,LA,67,4,Dark,Clear,Yard,Yard/switching,7,17699,1872,19571,T315,30.482186,-91.21529,70.1,72.1,70.7
BNSF,CA0818106,8/19/2018,6:49 PM,Derailment,0,BAKERSFIELD,CA,100,3,Dusk,Clear,Yard,Freight Train,5,175000,24000,199000,T319,35.371283,-119.025305,90.0,89.8,88.9
NJTR,202405236,4/25/2024,5:07 AM,Other (describe in narrative),0,KEARNY,NJ,40,4,Dark,Clear,Main,Commuter Train - Pulling,56,15750,0,15750,T404,40.746198,-74.116355,59.1,48.7,50.1
UP,0920GL028,9/24/2020,2:56 PM,Derailment,0,SHAKOPEE,MN,75,2,Day,Clear,Yard,Yard/switching,8,14360,154798,169158,T111,44.787454,-93.410077,70.2,67.5,68.2
BNSF,TC0716112,7/22/2016,2:15 PM,Derailment,0,BENA,MN,88,2,Day,Clear,Main,Freight Train,25,233728,455387,689115,T109,47.343471,-94.192017,75.8,74.4,70.4
UP,0515PR032,5/30/2015,2:54 AM,Derailment,0,CHICAGO,IL,74,4,Dark,Cloudy,Main,Freight Train,10,5429,94120,99549,T110,41.864561,-87.689772,75.6,59.8,49.1
NJTR,201510558,9/29/2015,3:20 PM,Obstruction,0,FAR HILLS,NJ,70,2,Day,Rain,Main,EMU,60,21276,2000,23276,T303,40.694463,-74.607895,70.1,73.2,72.6
CSX,000163095,9/24/2016,12:35 AM,Side collision,0,CUMBERLAND,MD,68,4,Dark,Clear,Yard,Cut of cars,4,1232,125,45326,T305,39.644504,-78.760839,67.4,66.0,62.4
UP,0815CB009,8/14/2015,1:25 PM,Derailment,0,FREMONT,NE,90,2,Day,Clear,Main,Freight Train,19,346160,193081,539241,T001,41.427645,-96.491868,78.1,79.1,78.2
CRSH,114011,1/23/2015,12:30 PM,Raking collision,0,NEWARK,NJ,39,2,Day,Clear,Yard,Cut of cars,0,45830,1860,48079,T306,40.713668,-74.142477,33.9,32.8,34.7
NJTR,202405233,4/4/2024,2:20 PM,Other (describe in narrative),0,LINDEN,NJ,41,2,Day,Cloudy,Main,Commuter Train - Pulling,59,12500,0,12500,T404,40.632902,-74.248391,43.1,43.1,43.9
UP,0420HL023,4/30/2020,4:25 PM,Derailment,0,PRATT,KS,78,2,Day,Clear,Yard,Freight Train,8,8893,4136,13029,T103,37.66481,-98.724576,59.1,61.7,70.9
NS,128438,2/7/2018,1:30 PM,Derailment,0,MUSCLE SHOALS,AL,37,2,Day,Cloudy,Yard,Light loco(s),9,150,14585,14735,T110,34.712551,-87.616781,45.5,41.0,36.3
